Using 1 GPU(s)...
Reading pre-processed data=/hdd3/jiayi/kaggle/kaggleAdDisplayChallenge_processed.npz
Sparse fea = 26, Dense fea = 13
Defined train indices...
Randomized indices across days ...
Split data according to indices...
Reading pre-processed data=/hdd3/jiayi/kaggle/kaggleAdDisplayChallenge_processed.npz
Sparse fea = 26, Dense fea = 13
Defined test indices...
Randomized indices across days ...
Split data according to indices...
Loading saved model results/40-20-1_lr0.1/model.pth
Saved at: epoch = 0/1, batch = 286720/306969, ntbatch = 200
Training state: loss = 0.452415, accuracy = 78.808 %
Testing state: loss = 0.455722, accuracy = 78.705 %
time/loss/accuracy (if enabled):
skip_upto_epoch: 0
args.nepochs: 2
k: 0
Finished training it 287744/306969 of epoch 0, 13.52 ms/it, loss 0.447781, accuracy 79.228 %
Testing at - 287744/306969 of epoch 0, loss 0.456152, accuracy 78.689 %, best 78.705 %
Finished training it 288768/306969 of epoch 0, 12.53 ms/it, loss 0.449300, accuracy 79.144 %
Testing at - 288768/306969 of epoch 0, loss 0.458800, accuracy 78.458 %, best 78.705 %
Finished training it 289792/306969 of epoch 0, 14.56 ms/it, loss 0.448348, accuracy 79.194 %
Testing at - 289792/306969 of epoch 0, loss 0.456428, accuracy 78.614 %, best 78.705 %
Finished training it 290816/306969 of epoch 0, 15.41 ms/it, loss 0.452034, accuracy 78.967 %
Testing at - 290816/306969 of epoch 0, loss 0.456603, accuracy 78.665 %, best 78.705 %
Finished training it 291840/306969 of epoch 0, 17.08 ms/it, loss 0.447996, accuracy 79.242 %
Testing at - 291840/306969 of epoch 0, loss 0.457621, accuracy 78.586 %, best 78.705 %
Finished training it 292864/306969 of epoch 0, 17.47 ms/it, loss 0.450521, accuracy 78.963 %
Testing at - 292864/306969 of epoch 0, loss 0.455690, accuracy 78.650 %, best 78.705 %
Finished training it 293888/306969 of epoch 0, 17.41 ms/it, loss 0.451537, accuracy 78.936 %
Testing at - 293888/306969 of epoch 0, loss 0.457092, accuracy 78.606 %, best 78.705 %
Finished training it 294912/306969 of epoch 0, 18.34 ms/it, loss 0.449335, accuracy 78.992 %
Testing at - 294912/306969 of epoch 0, loss 0.456046, accuracy 78.659 %, best 78.705 %
Finished training it 295936/306969 of epoch 0, 18.78 ms/it, loss 0.449881, accuracy 79.082 %
Testing at - 295936/306969 of epoch 0, loss 0.455674, accuracy 78.678 %, best 78.705 %
Finished training it 296960/306969 of epoch 0, 16.78 ms/it, loss 0.450616, accuracy 79.050 %
Testing at - 296960/306969 of epoch 0, loss 0.455853, accuracy 78.672 %, best 78.705 %
Finished training it 297984/306969 of epoch 0, 15.46 ms/it, loss 0.453408, accuracy 78.736 %
Testing at - 297984/306969 of epoch 0, loss 0.455674, accuracy 78.687 %, best 78.705 %
Finished training it 299008/306969 of epoch 0, 15.14 ms/it, loss 0.452568, accuracy 78.911 %
Testing at - 299008/306969 of epoch 0, loss 0.455761, accuracy 78.693 %, best 78.705 %
Finished training it 300032/306969 of epoch 0, 18.92 ms/it, loss 0.449911, accuracy 79.166 %
Testing at - 300032/306969 of epoch 0, loss 0.455926, accuracy 78.666 %, best 78.705 %
