Using 1 GPU(s)...
Reading pre-processed data=/hdd3/jiayi/kaggle/kaggleAdDisplayChallenge_processed.npz
Sparse fea = 26, Dense fea = 13
Defined train indices...
Randomized indices across days ...
Split data according to indices...
Reading pre-processed data=/hdd3/jiayi/kaggle/kaggleAdDisplayChallenge_processed.npz
Sparse fea = 26, Dense fea = 13
Defined test indices...
Randomized indices across days ...
Split data according to indices...
Loading saved model results/240-120-1_lr0.1/model.pth
Saved at: epoch = 0/1, batch = 306176/306969, ntbatch = 200
Training state: loss = 0.447825, accuracy = 79.214 %
Testing state: loss = 0.453590, accuracy = 78.797 %
time/loss/accuracy (if enabled):
skip_upto_epoch: 0
args.nepochs: 3
k: 0
Finished training it 306969/306969 of epoch 0, 16.68 ms/it, loss 0.449912, accuracy 79.122 %
Testing at - 306969/306969 of epoch 0, loss 0.454335, accuracy 78.751 %, best 78.797 %
Finished training it 1024/306969 of epoch 1, 16.12 ms/it, loss 0.449216, accuracy 79.124 %
Testing at - 1024/306969 of epoch 0, loss 0.453787, accuracy 78.784 %, best 78.797 %
Finished training it 2048/306969 of epoch 1, 17.08 ms/it, loss 0.445981, accuracy 79.277 %
Testing at - 2048/306969 of epoch 0, loss 0.454103, accuracy 78.774 %, best 78.797 %
Finished training it 3072/306969 of epoch 1, 17.83 ms/it, loss 0.448678, accuracy 79.121 %
Testing at - 3072/306969 of epoch 0, loss 0.453823, accuracy 78.763 %, best 78.797 %
Finished training it 4096/306969 of epoch 1, 19.87 ms/it, loss 0.445741, accuracy 79.422 %
Testing at - 4096/306969 of epoch 0, loss 0.454829, accuracy 78.709 %, best 78.797 %
Finished training it 5120/306969 of epoch 1, 23.29 ms/it, loss 0.449240, accuracy 79.247 %
Testing at - 5120/306969 of epoch 0, loss 0.454727, accuracy 78.728 %, best 78.797 %
Finished training it 6144/306969 of epoch 1, 17.51 ms/it, loss 0.448468, accuracy 79.182 %
Testing at - 6144/306969 of epoch 0, loss 0.454036, accuracy 78.769 %, best 78.797 %
Finished training it 7168/306969 of epoch 1, 16.77 ms/it, loss 0.446386, accuracy 79.385 %
Testing at - 7168/306969 of epoch 0, loss 0.455972, accuracy 78.627 %, best 78.797 %
Finished training it 8192/306969 of epoch 1, 18.32 ms/it, loss 0.447490, accuracy 79.192 %
Testing at - 8192/306969 of epoch 0, loss 0.453887, accuracy 78.764 %, best 78.797 %
Finished training it 9216/306969 of epoch 1, 20.27 ms/it, loss 0.446717, accuracy 79.214 %
Testing at - 9216/306969 of epoch 0, loss 0.453545, accuracy 78.789 %, best 78.797 %
Finished training it 10240/306969 of epoch 1, 18.02 ms/it, loss 0.447087, accuracy 79.176 %
Testing at - 10240/306969 of epoch 0, loss 0.454522, accuracy 78.744 %, best 78.797 %
Finished training it 11264/306969 of epoch 1, 15.97 ms/it, loss 0.446005, accuracy 79.308 %
Testing at - 11264/306969 of epoch 0, loss 0.454119, accuracy 78.759 %, best 78.797 %
Finished training it 12288/306969 of epoch 1, 15.94 ms/it, loss 0.442442, accuracy 79.520 %
Testing at - 12288/306969 of epoch 0, loss 0.454434, accuracy 78.739 %, best 78.797 %
Finished training it 13312/306969 of epoch 1, 16.33 ms/it, loss 0.448878, accuracy 79.204 %
Testing at - 13312/306969 of epoch 0, loss 0.454765, accuracy 78.741 %, best 78.797 %
Finished training it 14336/306969 of epoch 1, 16.95 ms/it, loss 0.446423, accuracy 79.289 %
Testing at - 14336/306969 of epoch 0, loss 0.454969, accuracy 78.694 %, best 78.797 %
Finished training it 15360/306969 of epoch 1, 16.25 ms/it, loss 0.445631, accuracy 79.209 %
Testing at - 15360/306969 of epoch 0, loss 0.454642, accuracy 78.754 %, best 78.797 %
Finished training it 16384/306969 of epoch 1, 13.98 ms/it, loss 0.445795, accuracy 79.348 %
Testing at - 16384/306969 of epoch 0, loss 0.453407, accuracy 78.779 %, best 78.797 %
Finished training it 17408/306969 of epoch 1, 18.37 ms/it, loss 0.444500, accuracy 79.288 %
Testing at - 17408/306969 of epoch 0, loss 0.454562, accuracy 78.707 %, best 78.797 %
Finished training it 18432/306969 of epoch 1, 19.69 ms/it, loss 0.446502, accuracy 79.300 %
Testing at - 18432/306969 of epoch 0, loss 0.453703, accuracy 78.783 %, best 78.797 %
Finished training it 19456/306969 of epoch 1, 19.75 ms/it, loss 0.445490, accuracy 79.288 %
Testing at - 19456/306969 of epoch 0, loss 0.456546, accuracy 78.612 %, best 78.797 %
Finished training it 20480/306969 of epoch 1, 16.54 ms/it, loss 0.446828, accuracy 79.139 %
Testing at - 20480/306969 of epoch 0, loss 0.454985, accuracy 78.743 %, best 78.797 %
Finished training it 21504/306969 of epoch 1, 20.30 ms/it, loss 0.447251, accuracy 79.123 %
Testing at - 21504/306969 of epoch 0, loss 0.454524, accuracy 78.757 %, best 78.797 %
Finished training it 22528/306969 of epoch 1, 22.13 ms/it, loss 0.445840, accuracy 79.154 %
Testing at - 22528/306969 of epoch 0, loss 0.453857, accuracy 78.774 %, best 78.797 %
Finished training it 23552/306969 of epoch 1, 19.43 ms/it, loss 0.448693, accuracy 79.168 %
Testing at - 23552/306969 of epoch 0, loss 0.453667, accuracy 78.793 %, best 78.797 %
Finished training it 24576/306969 of epoch 1, 17.14 ms/it, loss 0.444850, accuracy 79.380 %
Testing at - 24576/306969 of epoch 0, loss 0.454839, accuracy 78.700 %, best 78.797 %
Finished training it 25600/306969 of epoch 1, 18.69 ms/it, loss 0.443583, accuracy 79.391 %
Testing at - 25600/306969 of epoch 0, loss 0.453876, accuracy 78.727 %, best 78.797 %
Finished training it 26624/306969 of epoch 1, 16.39 ms/it, loss 0.444853, accuracy 79.425 %
Testing at - 26624/306969 of epoch 0, loss 0.454001, accuracy 78.777 %, best 78.797 %
Finished training it 27648/306969 of epoch 1, 14.72 ms/it, loss 0.443091, accuracy 79.440 %
Testing at - 27648/306969 of epoch 0, loss 0.453483, accuracy 78.795 %, best 78.797 %
